Region	Month of Period End	Median Sale Price	Median Sale Price MoM 	Median Sale Price YoY 	Homes Sold	Homes Sold MoM 	Homes Sold YoY 	New Listings	New Listings MoM 	New Listings YoY 	Inventory	Inventory MoM 	 Inventory YoY 	Days on Market	Days on Market MoM	Days on Market YoY	Average Sale To List	Average Sale To List MoM 	Average Sale To List YoY 
Alabama	February 2013	$138K	6.1%	3.6%	2,292	15.5%	9.6%	3,190	-2.5%	14.0%	15,347	4.2%	10.3%	133	-8	-5	95.1%	0.5%	0.3%
Alabama	March 2013	$145K	4.7%	7.6%	2,680	18.4%	7.1%	3,602	14.3%	3.7%	16,213	3.5%	6.6%	131	-3	4	95.1%	0.1%	0.1%
Alabama	April 2013	$152K	4.5%	7.3%	2,930	8.2%	7.4%	3,774	2.9%	6.3%	17,085	2.8%	7.2%	115	-16	-7	95.3%	0.2%	0.0%
Alabama	May 2013	$158K	4.7%	4.1%	3,417	16.6%	16.3%	3,724	-1.3%	11.7%	16,907	-0.8%	6.3%	112	-3	-4	95.9%	0.6%	-0.1%
Alabama	June 2013	$168K	6.3%	8.7%	3,192	-6.5%	8.6%	3,722	0.2%	12.9%	17,012	0.8%	7.7%	120	8	12	96.0%	0.1%	0.0%
Alabama	July 2013	$168K	-0.2%	9.4%	3,265	2.3%	21.3%	3,601	-3.5%	18.6%	16,948	-0.5%	7.8%	116	-4	2	96.0%	0.1%	0.4%
Alabama	August 2013	$159K	-5.1%	4.5%	3,354	2.4%	10.7%	3,315	-7.4%	6.3%	16,327	-2.5%	7.9%	116	1	-7	95.5%	-0.4%	0.0%
Alabama	September 2013	$157K	-1.5%	6.4%	2,766	-17.2%	13.5%	2,973	-9.8%	11.7%	16,039	-0.9%	7.6%	129	14	6	95.6%	0.0%	-0.2%
Alabama	October 2013	$152K	-3.2%	4.3%	2,697	-2.6%	7.9%	3,125	4.3%	7.4%	16,350	-0.1%	6.8%	113	-16	-14	95.7%	0.1%	0.4%
Alabama	November 2013	$149K	-2.1%	-1.2%	2,364	-12.4%	3.5%	2,487	-20.6%	1.7%	16,184	-1.1%	6.9%	125	11	0	95.3%	-0.3%	0.0%
Alabama	December 2013	$161K	7.9%	3.1%	2,510	6.7%	13.6%	2,002	-18.8%	4.1%	14,876	-5.0%	6.2%	137	12	16	95.4%	0.0%	0.0%
Alabama	January 2014	$145K	-9.2%	10.7%	2,028	-24.0%	2.2%	3,336	54.9%	2.3%	16,544	6.0%	12.5%	131	-6	-10	95.2%	-0.3%	0.6%
Alabama	February 2014	$145K	0.2%	4.8%	2,414	18.2%	4.9%	3,601	5.9%	10.8%	17,906	4.4%	12.5%	143	11	10	95.1%	0.0%	0.1%
Alabama	March 2014	$154K	6.4%	5.9%	2,950	21.7%	8.1%	4,481	23.3%	19.8%	19,377	5.6%	14.7%	137	-8	6	95.7%	0.6%	0.6%
Alabama	April 2014	$153K	-0.4%	1.3%	3,206	8.6%	8.1%	4,532	1.0%	17.1%	20,315	4.7%	16.5%	122	-15	7	95.6%	0.0%	0.3%
Alabama	May 2014	$162K	6.0%	2.7%	3,643	13.7%	5.7%	4,327	-4.6%	11.6%	20,480	0.7%	17.5%	111	-11	-1	95.9%	0.3%	0.1%
Alabama	June 2014	$166K	2.4%	-1.2%	3,828	5.1%	18.6%	4,297	-0.9%	10.7%	20,419	-0.2%	15.6%	114	2	-6	96.0%	0.1%	0.0%
Alabama	July 2014	$165K	-0.7%	-1.7%	3,844	0.2%	16.5%	4,174	-2.9%	10.4%	20,286	-0.8%	14.1%	117	3	2	95.9%	0.0%	-0.1%
Alabama	August 2014	$166K	0.7%	4.5%	3,629	-4.0%	7.6%	3,568	-13.0%	1.2%	19,308	-2.7%	12.1%	116	1	1	95.7%	-0.2%	0.2%
Alabama	September 2014	$158K	-4.8%	1.1%	3,479	-5.8%	20.5%	3,413	-5.7%	5.7%	19,076	-2.8%	9.4%	121	4	-8	95.8%	0.1%	0.2%
Alabama	October 2014	$154K	-1.9%	2.1%	3,379	-3.9%	17.5%	3,652	6.0%	7.2%	19,102	-1.1%	8.0%	126	5	11	95.6%	-0.2%	-0.2%
Alabama	November 2014	$153K	-1.4%	2.5%	2,751	-18.1%	9.6%	2,829	-22.1%	5.4%	18,663	-1.6%	7.0%	128	3	3	96.2%	0.5%	0.7%
Alabama	December 2014	$157K	2.9%	-1.4%	3,096	12.4%	15.4%	2,574	-8.9%	15.3%	17,745	-4.7%	6.5%	135	7	-2	95.5%	-0.7%	0.1%
Alabama	January 2015	$145K	-7.9%	0.7%	2,401	-20.9%	17.1%	3,969	56.0%	15.7%	18,107	4.3%	4.6%	130	-3	-2	95.2%	-0.2%	0.1%
Alabama	February 2015	$149K	3.4%	3.5%	2,855	16.5%	17.6%	3,902	-3.5%	6.9%	18,872	1.4%	2.3%	126	-5	-18	95.9%	0.7%	0.8%
Alabama	March 2015	$157K	4.9%	2.0%	3,735	30.9%	26.5%	4,966	27.4%	10.6%	19,511	3.6%	0.2%	123	-3	-14	96.0%	0.1%	0.3%
Alabama	April 2015	$162K	3.6%	6.0%	3,848	3.1%	20.0%	5,205	4.9%	14.7%	20,212	3.7%	-0.8%	112	-11	-10	96.0%	0.1%	0.4%
Alabama	May 2015	$170K	4.8%	4.7%	4,170	7.6%	14.1%	4,965	-5.3%	13.9%	20,270	-0.8%	-2.1%	113	0	1	96.4%	0.3%	0.5%
Alabama	June 2015	$172K	1.4%	3.8%	4,661	11.9%	21.1%	5,213	5.1%	20.4%	20,256	0.0%	-2.0%	95	-18	-19	96.4%	0.0%	0.4%
Alabama	July 2015	$167K	-2.8%	1.7%	4,680	0.4%	20.7%	5,183	-0.6%	23.1%	20,721	2.1%	1.0%	95	0	-22	96.3%	0.0%	0.4%
Alabama	August 2015	$164K	-1.9%	-0.8%	4,069	-13.1%	8.9%	4,830	-6.7%	31.1%	21,251	2.5%	6.4%	104	9	-14	96.3%	0.0%	0.6%
Alabama	September 2015	$157K	-4.5%	-0.5%	4,177	2.6%	18.4%	4,340	-10.3%	25.4%	21,652	1.7%	11.5%	99	-5	-22	95.8%	-0.5%	0.0%
Alabama	October 2015	$158K	1.1%	2.6%	3,484	-16.6%	2.8%	4,341	0.5%	18.6%	22,474	4.1%	17.2%	110	11	-16	95.6%	-0.2%	0.0%
Alabama	November 2015	$157K	-0.9%	3.0%	2,888	-17.1%	4.2%	3,420	-21.1%	19.8%	22,109	-1.4%	17.4%	119	9	-9	95.7%	0.1%	-0.4%
Alabama	December 2015	$159K	1.4%	1.8%	3,419	18.5%	9.4%	2,890	-15.4%	11.2%	21,036	-4.7%	17.2%	123	4	-12	96.1%	0.4%	0.7%
Alabama	January 2016	$151K	-5.0%	5.0%	2,690	-21.4%	9.2%	4,580	58.0%	12.8%	21,703	3.0%	15.9%	140	17	9	95.6%	-0.5%	0.4%
Alabama	February 2016	$153K	1.2%	2.7%	3,214	19.7%	12.3%	4,808	5.2%	23.0%	22,329	3.1%	17.8%	138	-2	12	96.1%	0.5%	0.2%
Alabama	March 2016	$159K	4.1%	1.8%	4,160	28.9%	10.9%	6,167	27.4%	23.4%	23,526	4.6%	19.2%	128	-10	4	96.1%	0.0%	0.2%
Alabama	April 2016	$166K	4.1%	2.2%	4,342	4.3%	11.9%	5,855	-5.1%	11.7%	23,999	2.0%	17.5%	118	-10	5	96.5%	0.4%	0.4%
Alabama	May 2016	$171K	3.5%	1.0%	4,884	12.5%	17.1%	5,815	-0.7%	17.0%	24,209	0.9%	19.3%	113	-5	0	96.6%	0.1%	0.3%
Alabama	June 2016	$177K	3.6%	3.1%	4,937	1.0%	5.9%	5,674	-2.4%	8.7%	24,046	-0.7%	18.4%	116	3	21	96.8%	0.2%	0.4%
Alabama	July 2016	$176K	-0.8%	5.2%	4,581	-7.2%	-2.1%	5,063	-10.6%	-2.3%	23,731	-1.2%	14.5%	113	-2	18	96.8%	0.0%	0.5%
Alabama	August 2016	$166K	-5.9%	0.9%	4,846	5.8%	19.2%	5,040	-0.5%	4.2%	23,149	-2.4%	8.9%	108	-5	4	96.6%	-0.2%	0.3%
Alabama	September 2016	$171K	3.4%	9.3%	4,409	-9.2%	5.5%	4,648	-7.9%	7.1%	22,675	-2.3%	4.7%	109	0	10	96.5%	-0.1%	0.7%
Alabama	October 2016	$166K	-3.0%	5.1%	3,856	-12.4%	10.6%	4,463	-3.8%	2.8%	22,281	-1.2%	-0.9%	109	0	-1	96.5%	0.0%	1.0%
Alabama	November 2016	$168K	0.9%	7.0%	3,722	-3.5%	28.9%	3,571	-20.0%	4.1%	21,508	-3.7%	-2.9%	115	6	-4	96.4%	-0.1%	0.7%
Alabama	December 2016	$172K	2.4%	7.9%	3,827	2.7%	11.6%	3,038	-15.2%	4.6%	20,185	-6.4%	-4.7%	117	2	-7	96.5%	0.0%	0.3%
Alabama	January 2017	$162K	-5.4%	7.6%	3,204	-16.3%	18.9%	4,708	55.0%	2.4%	20,756	2.9%	-4.7%	122	5	-18	96.2%	-0.3%	0.6%
Alabama	February 2017	$161K	-1.0%	5.2%	3,423	6.9%	6.0%	5,301	12.5%	9.6%	21,978	5.8%	-2.2%	125	3	-13	96.0%	-0.2%	-0.1%
Alabama	March 2017	$167K	3.9%	5.1%	4,936	44.2%	18.7%	6,226	17.5%	1.0%	22,535	2.5%	-4.1%	110	-15	-18	96.4%	0.4%	0.3%
Alabama	April 2017	$174K	4.3%	5.3%	4,537	-8.1%	4.4%	5,759	-7.6%	-1.7%	23,115	2.4%	-3.6%	101	-9	-17	96.8%	0.4%	0.3%
Alabama	May 2017	$177K	1.6%	3.4%	5,573	22.7%	14.0%	6,130	6.3%	5.4%	23,158	0.1%	-4.5%	94	-7	-19	96.9%	0.1%	0.3%
Alabama	June 2017	$187K	5.4%	5.2%	5,546	-0.4%	12.3%	5,893	-3.7%	3.9%	22,847	-1.2%	-5.0%	91	-3	-25	97.0%	0.1%	0.2%
Alabama	July 2017	$185K	-0.9%	5.1%	4,907	-11.4%	7.1%	5,462	-7.2%	7.8%	22,770	-0.2%	-4.1%	94	3	-19	96.9%	-0.1%	0.1%
Alabama	August 2017	$182K	-1.3%	10.3%	5,228	6.3%	7.6%	5,537	1.1%	9.6%	22,477	-1.7%	-3.2%	95	2	-14	96.8%	-0.1%	0.3%
Alabama	September 2017	$181K	-1.0%	5.5%	4,454	-14.8%	1.0%	4,556	-17.6%	-2.0%	21,899	-2.4%	-3.4%	95	0	-14	96.8%	0.0%	0.3%
Alabama	October 2017	$174K	-3.6%	4.8%	4,252	-4.6%	10.0%	4,655	2.2%	3.8%	21,534	-1.7%	-3.9%	103	8	-6	96.5%	-0.3%	0.0%
Alabama	November 2017	$176K	1.1%	4.9%	4,107	-3.3%	10.2%	3,812	-17.9%	6.4%	20,628	-3.9%	-4.3%	106	4	-9	96.4%	-0.1%	0.0%
Alabama	December 2017	$182K	3.4%	6.0%	3,977	-3.3%	3.8%	2,994	-21.7%	-1.6%	19,229	-7.2%	-5.0%	104	-2	-13	96.8%	0.4%	0.4%
Alabama	January 2018	$172K	-5.7%	5.7%	3,140	-21.0%	-2.1%	4,892	63.4%	3.8%	20,070	4.7%	-3.5%	115	11	-7	96.3%	-0.5%	0.1%
Alabama	February 2018	$177K	3.4%	10.3%	3,650	16.2%	6.5%	5,301	8.2%	0.0%	20,940	4.2%	-4.9%	108	-8	-17	96.5%	0.2%	0.5%
Alabama	March 2018	$181K	1.8%	8.2%	5,031	38.0%	2.0%	6,526	23.2%	4.6%	21,751	4.0%	-3.5%	98	-10	-12	97.0%	0.4%	0.5%
Alabama	April 2018	$186K	2.6%	6.5%	5,207	3.3%	14.7%	6,529	0.0%	13.3%	22,541	3.5%	-2.5%	84	-14	-17	97.3%	0.3%	0.5%
Alabama	May 2018	$193K	4.0%	9.0%	5,939	13.9%	6.6%	6,586	0.8%	7.5%	22,620	0.2%	-2.3%	77	-7	-17	97.3%	0.0%	0.4%
Alabama	June 2018	$193K	0.2%	3.7%	5,945	0.1%	7.1%	6,341	-3.6%	7.4%	22,467	-0.6%	-1.8%	81	4	-10	97.4%	0.1%	0.4%
Alabama	July 2018	$193K	-0.3%	4.4%	5,417	-8.9%	10.2%	5,883	-7.4%	7.4%	22,386	-0.6%	-2.1%	82	1	-12	97.4%	0.0%	0.5%
Alabama	August 2018	$188K	-2.5%	3.1%	5,526	2.0%	5.7%	5,797	-1.5%	4.6%	21,982	-1.9%	-2.3%	81	-1	-14	97.0%	-0.4%	0.2%
Alabama	September 2018	$188K	0.0%	4.1%	4,738	-14.3%	6.5%	4,738	-18.0%	4.2%	21,324	-2.6%	-2.5%	87	6	-8	97.0%	0.0%	0.2%
Alabama	October 2018	$187K	-0.6%	7.3%	4,506	-4.8%	6.1%	4,985	5.3%	7.5%	21,057	-1.1%	-1.8%	86	-1	-17	97.1%	0.1%	0.6%
Alabama	November 2018	$185K	-0.6%	5.3%	4,331	-4.3%	5.3%	4,037	-19.2%	5.7%	20,255	-4.3%	-2.2%	90	3	-16	97.1%	0.0%	0.7%
Alabama	December 2018	$186K	0.5%	2.3%	3,735	-13.6%	-5.9%	3,044	-24.5%	1.9%	18,916	-6.3%	-1.3%	98	8	-6	96.7%	-0.3%	-0.1%
Alabama	January 2019	$183K	-1.9%	6.6%	3,115	-16.6%	-0.7%	5,179	70.4%	6.0%	20,095	6.4%	0.2%	100	2	-15	96.8%	0.1%	0.4%
Alabama	February 2019	$182K	-0.4%	2.6%	3,934	26.2%	8.0%	5,402	4.4%	2.1%	20,920	4.3%	0.0%	102	2	-6	97.0%	0.2%	0.5%
Alabama	March 2019	$194K	6.5%	7.0%	4,951	25.8%	-1.7%	6,598	21.7%	1.0%	21,318	1.6%	-2.1%	93	-9	-5	97.1%	0.1%	0.1%
Alabama	April 2019	$196K	1.3%	5.7%	5,518	11.3%	5.8%	6,832	3.4%	4.4%	21,847	2.1%	-3.3%	77	-16	-7	97.5%	0.4%	0.2%
Alabama	May 2019	$206K	4.8%	6.6%	5,976	8.3%	0.6%	7,036	3.0%	6.8%	22,200	1.6%	-1.9%	74	-3	-3	97.6%	0.1%	0.3%
Alabama	June 2019	$208K	1.0%	7.5%	5,645	-5.4%	-5.0%	6,384	-9.0%	0.7%	22,028	-0.3%	-1.8%	72	-2	-9	97.6%	0.0%	0.2%
Alabama	July 2019	$202K	-2.8%	4.8%	5,918	4.8%	9.3%	6,161	-3.5%	4.8%	21,574	-2.2%	-3.4%	73	1	-9	97.6%	0.0%	0.2%
Alabama	August 2019	$199K	-1.1%	6.0%	5,901	-0.9%	6.5%	6,029	-2.8%	3.8%	21,201	-2.6%	-3.7%	73	0	-8	97.3%	-0.3%	0.3%
Alabama	September 2019	$197K	-1.3%	4.8%	5,529	-6.0%	16.7%	5,641	-6.2%	19.1%	20,923	-0.9%	-1.9%	80	7	-7	97.3%	0.0%	0.3%
Alabama	October 2019	$195K	-1.0%	4.5%	5,291	-4.4%	17.0%	5,412	-4.3%	8.4%	20,644	-1.4%	-2.3%	78	-2	-9	97.1%	-0.2%	0.0%
Alabama	November 2019	$199K	2.1%	7.3%	4,685	-11.5%	8.2%	4,252	-21.4%	5.4%	19,798	-4.1%	-2.2%	80	2	-11	97.2%	0.2%	0.2%
Alabama	December 2019	$198K	-0.6%	6.1%	5,066	8.4%	35.7%	3,469	-18.2%	14.2%	18,092	-8.2%	-4.1%	84	4	-14	97.3%	0.1%	0.6%
Alabama	January 2020	$193K	-2.2%	5.8%	4,164	-17.9%	33.5%	5,594	61.4%	7.9%	18,797	3.7%	-6.5%	93	9	-7	97.0%	-0.3%	0.2%
Alabama	February 2020	$198K	2.2%	8.5%	4,606	10.7%	17.1%	5,593	0.0%	3.1%	19,430	3.4%	-7.4%	88	-5	-14	97.3%	0.4%	0.4%
Alabama	March 2020	$205K	3.4%	5.7%	5,729	24.4%	15.6%	6,371	13.8%	-3.6%	19,813	1.7%	-7.3%	78	-10	-15	97.4%	0.1%	0.3%
Alabama	April 2020	$207K	1.3%	5.7%	5,285	-7.8%	-4.2%	5,354	-16.0%	-21.6%	19,648	-0.8%	-10.0%	73	-5	-4	97.8%	0.4%	0.3%
Alabama	May 2020	$213K	2.5%	3.3%	5,479	3.7%	-8.2%	6,245	16.9%	-11.2%	19,894	1.5%	-10.2%	70	-2	-4	97.8%	0.0%	0.2%
Alabama	June 2020	$220K	3.2%	5.7%	7,262	33.1%	28.6%	6,676	7.2%	4.6%	19,206	-3.0%	-12.9%	71	2	-1	98.2%	0.4%	0.6%
Alabama	July 2020	$221K	1.1%	9.8%	7,755	6.0%	30.4%	6,962	3.6%	12.3%	18,873	-2.6%	-13.2%	71	0	-2	98.0%	-0.2%	0.4%
Alabama	August 2020	$225K	1.8%	13.1%	7,027	-9.4%	19.2%	6,653	-4.4%	10.4%	18,523	-1.8%	-12.5%	69	-2	-4	98.1%	0.2%	0.9%
Alabama	September 2020	$224K	-0.7%	13.7%	6,851	-2.5%	23.6%	6,072	-8.7%	7.3%	17,887	-3.4%	-14.8%	66	-3	-14	98.4%	0.2%	1.1%
Alabama	October 2020	$222K	-1.0%	13.7%	6,861	0.1%	29.5%	6,070	-0.1%	12.1%	17,177	-4.0%	-17.0%	64	-2	-14	98.3%	-0.1%	1.2%
Alabama	November 2020	$224K	0.9%	12.4%	5,766	-15.9%	23.1%	5,022	-17.3%	18.1%	16,460	-4.1%	-16.9%	67	3	-13	98.4%	0.1%	1.1%
Alabama	December 2020	$224K	-0.1%	13.1%	6,330	9.8%	24.6%	4,117	-18.0%	18.4%	14,634	-11.0%	-19.5%	68	2	-17	98.4%	0.0%	1.1%
Alabama	January 2021	$219K	-2.1%	13.2%	4,848	-23.3%	16.4%	5,379	30.8%	-3.8%	14,681	0.6%	-21.9%	70	2	-23	98.3%	-0.1%	1.3%
Alabama	February 2021	$226K	3.2%	14.4%	5,247	8.2%	13.9%	5,620	4.4%	0.6%	14,929	1.6%	-23.1%	70	0	-18	98.3%	0.0%	1.0%
Alabama	March 2021	$237K	4.8%	15.8%	7,099	35.1%	23.8%	6,734	19.5%	5.7%	14,589	-2.7%	-26.4%	58	-13	-20	98.9%	0.6%	1.4%
Alabama	April 2021	$237K	0.0%	14.3%	7,185	1.2%	35.9%	7,315	8.7%	36.6%	15,213	4.3%	-22.6%	53	-6	-19	99.4%	0.5%	1.6%
Alabama	May 2021	$244K	2.6%	14.7%	7,003	-2.3%	27.7%	6,796	-6.9%	8.8%	15,362	1.3%	-22.8%	50	-3	-20	99.9%	0.5%	2.1%
Alabama	June 2021	$247K	1.6%	13.1%	8,302	18.4%	13.5%	7,510	10.1%	11.9%	15,325	-0.7%	-20.8%	49	-1	-22	100.1%	0.2%	2.0%
Alabama	July 2021	$250K	1.2%	13.2%	7,503	-9.7%	-3.2%	7,741	3.0%	11.2%	16,050	4.7%	-15.0%	48	-1	-23	100.0%	-0.2%	2.0%
Alabama	August 2021	$246K	-1.6%	9.3%	7,364	-1.8%	4.9%	7,064	-8.7%	6.3%	15,916	-0.7%	-14.0%	46	-1	-23	99.8%	-0.2%	1.6%
Alabama	September 2021	$248K	0.4%	10.6%	7,197	-2.2%	5.2%	6,275	-11.1%	3.4%	15,317	-3.6%	-14.2%	49	3	-17	99.4%	-0.4%	1.0%
Alabama	October 2021	$249K	0.7%	12.5%	6,481	-10.1%	-5.5%	5,888	-6.3%	-3.1%	14,724	-4.1%	-14.3%	51	2	-13	99.0%	-0.3%	0.8%
Alabama	November 2021	$250K	0.4%	11.9%	6,305	-2.7%	9.4%	5,245	-10.8%	4.4%	13,568	-7.8%	-17.6%	51	0	-15	99.1%	0.1%	0.7%
Alabama	December 2021	$258K	3.3%	15.6%	6,708	6.4%	5.9%	4,330	-17.5%	5.1%	11,848	-12.8%	-19.2%	47	-4	-21	99.2%	0.1%	0.9%
Alabama	January 2022	$251K	-3.0%	14.4%	4,836	-27.8%	-0.4%	5,264	21.6%	-2.3%	11,539	-2.4%	-21.6%	48	1	-22	99.0%	-0.2%	0.7%
Alabama	February 2022	$258K	3.0%	14.3%	5,393	11.4%	2.5%	5,733	8.7%	1.8%	11,748	1.7%	-21.6%	47	0	-24	99.3%	0.3%	1.0%
Alabama	March 2022	$267K	3.5%	12.7%	7,135	32.4%	0.6%	7,237	26.4%	7.6%	11,976	2.1%	-17.8%	40	-7	-18	99.9%	0.6%	1.0%
Alabama	April 2022	$272K	1.7%	14.6%	6,683	-6.5%	-7.1%	7,445	2.7%	1.7%	12,783	6.4%	-16.1%	35	-5	-18	100.2%	0.3%	0.8%
Alabama	May 2022	$278K	2.5%	14.3%	7,086	6.1%	1.1%	7,660	2.9%	12.4%	13,338	4.4%	-13.5%	35	0	-15	100.4%	0.2%	0.5%
Alabama	June 2022	$279K	0.3%	12.8%	7,502	5.7%	-9.7%	8,189	6.8%	9.0%	14,209	6.4%	-7.4%	45	10	-4	100.2%	-0.2%	0.1%
Alabama	July 2022	$278K	-0.4%	10.9%	6,367	-15.1%	-15.2%	6,984	-14.7%	-9.8%	15,019	5.7%	-6.5%	32	-13	-16	99.5%	-0.7%	-0.4%
Alabama	August 2022	$270K	-2.8%	9.5%	6,507	2.4%	-11.6%	7,108	2.0%	0.6%	15,606	4.2%	-2.0%	36	4	-10	98.7%	-0.8%	-1.1%
Alabama	September 2022	$272K	0.9%	10.0%	6,136	-5.8%	-15.0%	6,259	-12.0%	-0.4%	15,549	-0.5%	1.3%	39	3	-10	98.4%	-0.3%	-1.0%
Alabama	October 2022	$272K	0.1%	9.3%	4,986	-18.8%	-23.1%	5,761	-8.1%	-2.2%	15,728	1.0%	6.6%	43	4	-9	98.2%	-0.2%	-0.9%
Alabama	November 2022	$263K	-3.5%	5.1%	4,483	-10.1%	-28.9%	4,650	-19.2%	-11.4%	15,197	-3.2%	11.8%	44	1	-7	97.6%	-0.5%	-1.5%
Alabama	December 2022	$269K	2.0%	3.9%	4,359	-2.5%	-35.0%	3,528	-24.1%	-18.6%	14,068	-7.3%	18.8%	52	8	5	97.5%	-0.2%	-1.8%
Alabama	January 2023	$254K	-5.4%	1.5%	3,367	-22.7%	-30.4%	5,009	42.0%	-4.8%	13,886	-1.1%	20.5%	56	4	9	97.4%	-0.1%	-1.6%
Alabama	February 2023	$262K	2.9%	1.4%	4,104	21.7%	-23.8%	4,945	-1.5%	-13.7%	13,822	-0.7%	17.8%	60	4	13	97.3%	0.0%	-1.9%
Alabama	March 2023	$271K	3.6%	1.5%	5,467	33.1%	-23.5%	6,427	29.8%	-11.3%	13,909	0.4%	15.9%	51	-9	11	98.0%	0.7%	-1.9%
Alabama	April 2023	$273K	0.9%	0.7%	4,941	-9.6%	-26.0%	6,223	-3.2%	-16.3%	14,121	1.5%	10.6%	47	-4	12	98.1%	0.1%	-2.1%
Alabama	May 2023	$283K	3.6%	1.7%	5,831	17.8%	-17.8%	6,680	7.2%	-12.8%	14,387	1.8%	7.8%	42	-5	7	98.5%	0.4%	-1.9%
Alabama	June 2023	$285K	0.7%	2.1%	6,069	4.1%	-19.1%	6,963	4.4%	-14.9%	14,791	3.0%	4.2%	40	-2	-5	98.5%	0.0%	-1.7%
Alabama	July 2023	$279K	-2.2%	0.4%	5,283	-13.0%	-17.0%	6,473	-7.0%	-7.3%	15,233	3.0%	1.5%	40	0	8	98.3%	-0.1%	-1.2%
Alabama	August 2023	$278K	-0.2%	3.1%	5,523	4.6%	-15.2%	6,558	1.5%	-7.8%	15,509	1.9%	-0.7%	42	2	6	98.0%	-0.3%	-0.7%
Alabama	September 2023	$274K	-1.3%	0.8%	4,890	-11.6%	-20.3%	5,900	-10.2%	-5.8%	15,987	2.9%	2.7%	43	1	4	98.0%	0.0%	-0.4%
Alabama	October 2023	$269K	-1.9%	-1.3%	4,453	-8.9%	-10.7%	5,994	1.7%	4.1%	16,464	3.0%	4.8%	45	2	2	97.6%	-0.4%	-0.6%
Alabama	November 2023	$268K	-0.6%	1.7%	4,034	-9.4%	-10.0%	4,849	-19.0%	4.4%	16,559	0.6%	9.1%	49	4	5	97.7%	0.0%	0.0%
Alabama	December 2023	$271K	1.3%	0.8%	4,039	0.3%	-7.1%	3,757	-22.4%	6.6%	15,664	-5.0%	11.5%	57	8	5	97.5%	-0.1%	0.1%
Alabama	January 2024	$262K	-3.1%	3.1%	3,327	-17.8%	-1.4%	5,189	37.7%	3.3%	15,564	-0.9%	11.7%	63	6	7	97.3%	-0.3%	-0.1%
Alabama	February 2024	$270K	3.0%	3.3%	4,259	27.9%	3.7%	6,182	19.1%	24.8%	16,402	5.2%	18.5%	64	1	4	97.3%	0.1%	0.0%
Alabama	March 2024	$272K	0.8%	0.4%	5,017	17.8%	-8.2%	6,686	8.1%	4.0%	16,900	3.0%	21.6%	58	-6	7	97.9%	0.6%	-0.1%
Alabama	April 2024	$276K	1.5%	1.1%	5,313	5.9%	7.5%	7,313	9.4%	17.6%	17,596	4.2%	24.8%	51	-7	4	97.7%	-0.2%	-0.4%
Alabama	May 2024	$288K	4.3%	1.7%	5,871	10.6%	0.8%	7,251	-0.9%	8.7%	18,046	2.5%	25.7%	47	-4	5	97.9%	0.2%	-0.5%
